round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
Sweet 16,15,Fair Dickinson,0,29,0.0,0.0060416666666666665,-0.0060416666666666665,-1.0
Sweet 16,16,UNC Greensboro,0,37,0.0,0.0077083333333333335,-0.0077083333333333335,-1.0
Sweet 16,14,SF Austin,0,37,0.0,0.0077083333333333335,-0.0077083333333333335,-1.0
Sweet 16,16,William & Mary,0,41,0.0,0.008541666666666666,-0.008541666666666666,-1.0
Sweet 16,16,Southern,0,46,0.0,0.009583333333333333,-0.009583333333333333,-1.0
Sweet 16,12,South Florida,6,200,0.03,0.041666666666666664,-0.011666666666666665,-0.27999999999999997
Sweet 16,10,S Dakota St,1,81,0.005,0.016875,-0.011875,-0.7037037037037037
Sweet 16,4,Ohio State,27,707,0.135,0.14729166666666665,-0.012291666666666645,-0.08345120226308331
Sweet 16,4,Maryland,20,540,0.1,0.1125,-0.012499999999999997,-0.11111111111111108
Sweet 16,15,Vermont,0,77,0.0,0.016041666666666666,-0.016041666666666666,-1.0
Sweet 16,12,Fairfield,7,254,0.035,0.05291666666666667,-0.017916666666666664,-0.3385826771653543
Sweet 16,16,Tennessee Tech,1,114,0.005,0.02375,-0.01875,-0.7894736842105263
Sweet 16,14,San Diego St,1,120,0.005,0.025,-0.02,-0.7999999999999999
Sweet 16,11,Murray St,3,173,0.015,0.036041666666666666,-0.021041666666666667,-0.5838150289017341
Sweet 16,3,Notre Dame,50,1325,0.25,0.2760416666666667,-0.026041666666666685,-0.0943396226415095
Sweet 16,9,Georgia Tech,0,126,0.0,0.02625,-0.02625,-1.0
Sweet 16,8,Utah,5,248,0.025,0.051666666666666666,-0.026666666666666665,-0.5161290322580645
Sweet 16,9,Mississippi St,0,129,0.0,0.026875,-0.026875,-1.0
Sweet 16,5,Ole Miss,9,348,0.045,0.0725,-0.027499999999999997,-0.3793103448275862
Sweet 16,12,Ball State,3,211,0.015,0.043958333333333335,-0.028958333333333336,-0.6587677725118484
Sweet 16,14,Oregon St,0,144,0.0,0.03,-0.03,-1.0
Sweet 16,8,Illinois,2,193,0.01,0.04020833333333333,-0.03020833333333333,-0.7512953367875647
Sweet 16,15,Lehigh,0,146,0.0,0.030416666666666668,-0.030416666666666668,-1.0
Sweet 16,10,Harvard,2,196,0.01,0.04083333333333333,-0.03083333333333333,-0.7551020408163265
Sweet 16,13,Montana St,1,174,0.005,0.03625,-0.031249999999999997,-0.8620689655172413
Sweet 16,13,Grand Canyon,4,246,0.02,0.05125,-0.031249999999999997,-0.6097560975609756
Sweet 16,10,Nebraska,2,199,0.01,0.04145833333333333,-0.03145833333333333,-0.7587939698492462
Sweet 16,4,Kentucky,14,488,0.07,0.10166666666666667,-0.03166666666666666,-0.31147540983606553
Sweet 16,5,Kansas St,9,369,0.045,0.076875,-0.031875,-0.41463414634146345
Sweet 16,9,Indiana,3,232,0.015,0.04833333333333333,-0.03333333333333333,-0.6896551724137931
Sweet 16,6,Michigan,9,377,0.045,0.07854166666666666,-0.033541666666666664,-0.4270557029177719
Sweet 16,3,North Carolina,29,860,0.145,0.17916666666666667,-0.03416666666666668,-0.19069767441860472
Sweet 16,10,Oregon,0,176,0.0,0.03666666666666667,-0.03666666666666667,-1.0
Sweet 16,13,Norfolk St,2,225,0.01,0.046875,-0.036875,-0.7866666666666666
Sweet 16,13,Liberty,2,231,0.01,0.048125,-0.038125,-0.7922077922077921
Sweet 16,5,Tennessee,5,305,0.025,0.06354166666666666,-0.03854166666666666,-0.6065573770491803
Sweet 16,6,Florida St,5,311,0.025,0.06479166666666666,-0.03979166666666666,-0.6141479099678456
Sweet 16,11,Iowa State,3,275,0.015,0.057291666666666664,-0.042291666666666665,-0.7381818181818182
Sweet 16,5,Alabama,4,308,0.02,0.06416666666666666,-0.04416666666666666,-0.6883116883116882
Sweet 16,7,Vanderbilt,4,317,0.02,0.06604166666666667,-0.04604166666666666,-0.697160883280757
