round,upsets,winners_density,non_winners_density,advantage,relative_advantage
Total Upsets,20.0,0.0,0.04833333333333333,-0.04833333333333333,-1.0
Total Upsets,21.0,0.0,0.049444444444444444,-0.049444444444444444,-1.0
Total Upsets,22.0,0.0,0.042222222222222223,-0.042222222222222223,-1.0
Total Upsets,23.0,0.0,0.04388888888888889,-0.04388888888888889,-1.0
Total Upsets,24.0,0.0,0.04666666666666667,-0.04666666666666667,-1.0
Total Upsets,25.0,0.0,0.04555555555555556,-0.04555555555555556,-1.0
Total Upsets,26.0,0.0,0.04722222222222222,-0.04722222222222222,-1.0
Total Upsets,27.0,0.0,0.03333333333333333,-0.03333333333333333,-1.0
Total Upsets,28.0,0.0,0.03888888888888889,-0.03888888888888889,-1.0
Total Upsets,29.0,0.0,0.03666666666666667,-0.03666666666666667,-1.0
Total Upsets,30.0,0.0,0.03722222222222222,-0.03722222222222222,-1.0
Total Upsets,31.0,0.0,0.03166666666666667,-0.03166666666666667,-1.0
Total Upsets,32.0,0.0,0.02277777777777778,-0.02277777777777778,-1.0
Total Upsets,33.0,0.0,0.028888888888888888,-0.028888888888888888,-1.0
Total Upsets,34.0,0.0,0.02388888888888889,-0.02388888888888889,-1.0
Total Upsets,35.0,0.0,0.025,-0.025,-1.0
Total Upsets,36.0,0.0,0.022222222222222223,-0.022222222222222223,-1.0
Total Upsets,37.0,0.0,0.016666666666666666,-0.016666666666666666,-1.0
Total Upsets,38.0,0.0,0.015,-0.015,-1.0
Total Upsets,39.0,0.0,0.013888888888888888,-0.013888888888888888,-1.0
Total Upsets,40.0,0.0,0.013888888888888888,-0.013888888888888888,-1.0
Total Upsets,41.0,0.0,0.017777777777777778,-0.017777777777777778,-1.0
Total Upsets,42.0,0.0,0.010555555555555556,-0.010555555555555556,-1.0
Total Upsets,43.0,0.0,0.01,-0.01,-1.0
Total Upsets,44.0,0.0,0.0077777777777777776,-0.0077777777777777776,-1.0
Total Upsets,45.0,0.0,0.0044444444444444444,-0.0044444444444444444,-1.0
Total Upsets,46.0,0.0,0.0038888888888888888,-0.0038888888888888888,-1.0
Total Upsets,47.0,0.0,0.0022222222222222222,-0.0022222222222222222,-1.0
Total Upsets,48.0,0.0,0.0005555555555555556,-0.0005555555555555556,-1.0
Total Upsets,49.0,0.0,0.0016666666666666668,-0.0016666666666666668,-1.0
