round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
Sweet 16,13,Akron,4,632,0.02,0.03191919191919192,-0.011919191919191916,-0.3734177215189873
Sweet 16,10,Arkansas,8,1038,0.04,0.05242424242424242,-0.012424242424242421,-0.23699421965317913
Sweet 16,15,Bryant,0,254,0.0,0.012828282828282828,-0.012828282828282828,-1.0
Sweet 16,9,Oklahoma,4,660,0.02,0.03333333333333333,-0.013333333333333332,-0.39999999999999997
Sweet 16,4,Texas A&M,24,2641,0.12,0.13338383838383838,-0.013383838383838387,-0.10034078000757292
Sweet 16,4,Maryland,25,2745,0.125,0.13863636363636364,-0.013636363636363641,-0.09836065573770494
Sweet 16,6,Ole Miss,19,2168,0.095,0.10949494949494949,-0.014494949494949491,-0.13238007380073796
Sweet 16,6,Illinois,19,2182,0.095,0.1102020202020202,-0.015202020202020203,-0.1379468377635197
Sweet 16,14,Montana,0,323,0.0,0.016313131313131314,-0.016313131313131314,-1.0
Sweet 16,13,Yale,3,627,0.015,0.03166666666666667,-0.01666666666666667,-0.5263157894736843
Sweet 16,11,North Carolina,14,1735,0.07,0.08762626262626262,-0.017626262626262615,-0.20115273775216128
Sweet 16,13,High Point,4,758,0.02,0.03828282828282828,-0.01828282828282828,-0.4775725593667546
Sweet 16,11,Xavier,11,1459,0.055,0.07368686868686869,-0.01868686868686869,-0.25359835503769707
Sweet 16,9,Baylor,6,980,0.03,0.049494949494949494,-0.019494949494949496,-0.39387755102040817
Sweet 16,9,Georgia,2,636,0.01,0.03212121212121212,-0.022121212121212118,-0.6886792452830188
Sweet 16,12,McNeese,2,651,0.01,0.032878787878787875,-0.022878787878787873,-0.6958525345622119
Sweet 16,7,Saint Mary's,21,2567,0.105,0.12964646464646465,-0.024646464646464653,-0.19010518114530583
Sweet 16,10,Utah State,6,1103,0.03,0.055707070707070705,-0.025707070707070706,-0.4614687216681777
Sweet 16,11,Drake,13,1837,0.065,0.09277777777777778,-0.027777777777777776,-0.2994011976047904
Sweet 16,8,Mississippi St,3,854,0.015,0.04313131313131313,-0.028131313131313132,-0.652224824355972
